app_name,app_version,version_release_date,review_count,avg_rating,avg_sentiment,rating_change_vs_prev,sentiment_change_vs_prev
Amazon Music,,,2404,3.16,0.213,,
Amazon Music,25.9.2,2025-12-09 00:00:00,7,2.43,0.016,-0.73,-0.197
Amazon Music,23.6.1,2025-12-09 00:00:00,2,4.5,0.388,2.07,0.372
Amazon Music,25.24.0,2025-12-09 00:00:00,28,3.79,0.316,-0.71,-0.072
Amazon Music,25.21.5,2025-12-09 00:00:00,28,3.36,0.182,-0.43,-0.134
Amazon Music,23.12.1,2025-12-09 00:00:00,1,3.0,0.842,-0.36,0.66
Amazon Music,25.22.6,2025-12-09 00:00:00,11,3.27,-0.003,0.27,-0.845
Amazon Music,25.25.0,2025-12-09 00:00:00,2641,3.78,0.346,0.51,0.349
Amazon Music,25.23.0,2025-12-09 00:00:00,301,3.34,0.263,-0.44,-0.083
Amazon Music,25.24.5,2025-12-09 00:00:00,215,3.86,0.323,0.52,0.06
Amazon Music,25.23.6,2025-12-09 00:00:00,16,3.56,0.201,-0.3,-0.122
Amazon Music,25.16.0,2025-12-10 00:00:00,29,3.31,0.294,-0.25,0.093
Amazon Music,25.19.0,2025-12-10 00:00:00,13,3.54,0.204,0.23,-0.09
Amazon Music,25.20.6,2025-12-10 00:00:00,6,1.17,-0.36,-2.37,-0.564
Amazon Music,17.18.1,2025-12-10 00:00:00,5,1.2,0.022,0.03,0.382
Amazon Music,24.8.0,2025-12-10 00:00:00,152,3.18,0.199,1.98,0.177
Amazon Music,25.13.5,2025-12-10 00:00:00,5,2.6,0.071,-0.58,-0.128
Amazon Music,5.3.0,2025-12-10 00:00:00,3,3.0,-0.002,0.4,-0.073
Amazon Music,25.15.5,2025-12-10 00:00:00,6,2.83,-0.024,-0.17,-0.022
Amazon Music,25.20.0,2025-12-11 00:00:00,9,2.67,-0.008,-0.16,0.016
Amazon Music,24.1.5,2025-12-11 00:00:00,3,3.67,0.612,1.0,0.62
Amazon Music,25.23.5,2025-12-11 00:00:00,7,3.71,0.341,0.04,-0.271
Amazon Music,25.15.0,2025-12-12 00:00:00,17,2.76,0.164,-0.95,-0.177
Amazon Music,24.11.1,2025-12-12 00:00:00,2,1.0,0.142,-1.76,-0.022
Amazon Music,25.11.1,2025-12-12 00:00:00,6,1.67,-0.029,0.67,-0.171
Amazon Music,24.18.2,2025-12-12 00:00:00,4,1.5,-0.007,-0.17,0.022
Amazon Music,24.2.0,2025-12-12 00:00:00,70,3.69,0.375,2.19,0.382
Amazon Music,23.5.0,2025-12-12 00:00:00,4,1.0,-0.134,-2.69,-0.509
Amazon Music,24.16.3,2025-12-12 00:00:00,5,2.6,0.018,1.6,0.152
Amazon Music,25.18.0,2025-12-13 00:00:00,10,2.8,0.385,0.2,0.367
Amazon Music,23.13.2,2025-12-13 00:00:00,3,1.0,0.189,-1.8,-0.196
Amazon Music,25.7.0,2025-12-13 00:00:00,1,5.0,0.637,4.0,0.448
Amazon Music,25.5.0,2025-12-13 00:00:00,9,2.78,0.031,-2.22,-0.606
Amazon Music,25.22.0,2025-12-13 00:00:00,3,3.0,0.501,0.22,0.47
Amazon Music,15.20.1,2025-12-13 00:00:00,4,3.0,0.111,0.0,-0.39
Amazon Music,25.17.2,2025-12-14 00:00:00,3,3.67,0.787,0.67,0.676
Amazon Music,17.14.1,2025-12-14 00:00:00,5,2.0,0.032,-1.67,-0.755
Amazon Music,24.14.0,2025-12-14 00:00:00,1,3.0,0.361,1.0,0.329
Amazon Music,23.12.0,2025-12-14 00:00:00,12,3.17,0.275,0.17,-0.086
Amazon Music,22.11.2,2025-12-15 00:00:00,6,1.67,-0.091,-1.5,-0.366
Amazon Music,24.17.2,2025-12-15 00:00:00,1,3.0,0.914,1.33,1.005
Amazon Music,16.10.3,2025-12-16 00:00:00,1,2.0,-0.459,-1.0,-1.373
Amazon Music,23.12.6,2025-12-16 00:00:00,3,2.33,-0.187,0.33,0.272
Amazon Music,23.13.1,2025-12-17 00:00:00,50,3.12,0.248,0.79,0.435
Amazon Music,24.4.0,2025-12-17 00:00:00,9,3.67,0.516,0.55,0.268
Amazon Music,22.15.0,2025-12-17 00:00:00,3,2.67,0.244,-1.0,-0.272
Amazon Music,23.7.2,2025-12-17 00:00:00,2,1.0,-0.577,-1.67,-0.821
Amazon Music,17.2.4,2025-12-17 00:00:00,1,5.0,0.66,4.0,1.237
Amazon Music,23.10.0,2025-12-18 00:00:00,5,3.6,0.215,-1.4,-0.445
Amazon Music,24.23.2,2025-12-18 00:00:00,5,2.8,0.069,-0.8,-0.146
Amazon Music,24.4.1,2025-12-19 00:00:00,3,1.0,-0.162,-1.8,-0.231
Amazon Music,24.9.0,2025-12-19 00:00:00,39,3.08,0.25,2.08,0.412
Amazon Music,25.3.1,2025-12-20 00:00:00,7,1.71,0.093,-1.37,-0.157
Amazon Music,25.17.5,2025-12-20 00:00:00,3,3.67,-0.101,1.96,-0.194
Amazon Music,25.21.0,2025-12-20 00:00:00,9,3.33,0.371,-0.34,0.472
Amazon Music,25.4.2,2025-12-20 00:00:00,4,4.0,0.273,0.67,-0.098
Amazon Music,25.6.0,2025-12-21 00:00:00,4,2.75,0.112,-1.25,-0.161
Amazon Music,24.13.0,2025-12-21 00:00:00,3,3.0,-0.255,0.25,-0.367
Amazon Music,25.16.6,2025-12-27 00:00:00,3,2.67,0.664,-0.33,0.919
Amazon Music,22.1.1,2025-12-27 00:00:00,2,1.0,0.22,-1.67,-0.444
Amazon Music,24.7.0,2025-12-28 00:00:00,3,2.0,0.027,1.0,-0.193
Amazon Music,23.9.0,2025-12-29 00:00:00,2,5.0,0.587,3.0,0.56
Amazon Music,25.2.2,2025-12-29 00:00:00,3,3.0,-0.18,-2.0,-0.767
Amazon Music,17.6.2,2025-12-30 00:00:00,2,3.0,0.293,0.0,0.473
Amazon Music,17.7.5,2025-12-30 00:00:00,2,5.0,0.777,2.0,0.484
Amazon Music,22.8.1,2025-12-31 00:00:00,5,2.6,0.126,-2.4,-0.651
Amazon Music,17.3.6,2026-01-01 00:00:00,4,3.0,-0.182,0.4,-0.308
Amazon Music,25.6.1,2026-01-02 00:00:00,6,3.67,0.255,0.67,0.437
Amazon Music,5.4.3,2026-01-03 00:00:00,1,1.0,-0.691,-2.67,-0.946
Amazon Music,17.4.1,2026-01-05 00:00:00,1,1.0,0.0,0.0,0.691
Amazon Music,17.6.1,2026-01-06 00:00:00,3,3.67,0.122,2.67,0.122
Amazon Music,22.3.3,2026-01-06 00:00:00,2,2.5,0.182,-1.17,0.06
Amazon Music,26.1.1,2026-01-06 00:00:00,18,3.0,0.17,0.5,-0.012
Amazon Music,17.19.4,2026-01-07 00:00:00,4,2.0,0.163,-1.0,-0.007
Amazon Music,23.1.0,2026-01-07 00:00:00,2,1.0,0.029,-1.0,-0.134
