app_name,issue_category,issue_review_count,total_reviews,pct_of_app_reviews
Amazon Music,performance,1466,20000,7.3
Amazon Music,ui,803,20000,4.0
Amazon Music,crash,680,20000,3.4
Amazon Music,payment,548,20000,2.7
Amazon Music,login,87,20000,0.4
JioSaavn,performance,172,20000,0.9
JioSaavn,payment,60,20000,0.3
JioSaavn,ui,28,20000,0.1
JioSaavn,crash,9,20000,0.0
JioSaavn,login,3,20000,0.0
SoundCloud,performance,1047,20000,5.2
SoundCloud,login,328,20000,1.6
SoundCloud,ui,293,20000,1.5
SoundCloud,crash,248,20000,1.2
SoundCloud,payment,219,20000,1.1
Spotify,performance,852,20000,4.3
Spotify,payment,436,20000,2.2
Spotify,ui,266,20000,1.3
Spotify,crash,176,20000,0.9
Spotify,login,83,20000,0.4
YouTube Music,performance,1090,20000,5.5
YouTube Music,ui,864,20000,4.3
YouTube Music,payment,395,20000,2.0
YouTube Music,crash,219,20000,1.1
YouTube Music,login,33,20000,0.2
