app_name,app_version,version_release_date,pre_review_count,pre_avg_rating,pre_avg_sentiment,post_review_count,post_avg_rating,post_avg_sentiment,rating_delta,sentiment_delta
YouTube Music,4.54.52,2026-04-03 00:00:00,3769,4.33,0.429,1813,3.48,0.248,-0.85,-0.181
YouTube Music,8.12.53,2026-04-03 00:00:00,3769,4.33,0.429,1813,3.48,0.248,-0.85,-0.181
YouTube Music,9.13.40-WEAR_RELEASE,2026-04-03 00:00:00,3769,4.33,0.429,1813,3.48,0.248,-0.85,-0.181
YouTube Music,6.34.52,2026-04-02 00:00:00,3996,4.35,0.433,1752,3.52,0.254,-0.83,-0.179
YouTube Music,5.16.51,2026-04-02 00:00:00,3996,4.35,0.433,1752,3.52,0.254,-0.83,-0.179
YouTube Music,5.44.53,2026-04-02 00:00:00,3996,4.35,0.433,1752,3.52,0.254,-0.83,-0.179
YouTube Music,8.46.53,2026-04-04 00:00:00,3584,4.31,0.42,1836,3.45,0.244,-0.86,-0.176
YouTube Music,6.22.51,2026-04-04 00:00:00,3584,4.31,0.42,1836,3.45,0.244,-0.86,-0.176
YouTube Music,6.42.55,2026-04-05 00:00:00,3415,4.29,0.413,1845,3.42,0.241,-0.87,-0.172
YouTube Music,5.05.51,2026-04-07 00:00:00,3002,4.21,0.401,1923,3.38,0.23,-0.83,-0.171
YouTube Music,6.10.51,2026-04-07 00:00:00,3002,4.21,0.401,1923,3.38,0.23,-0.83,-0.171
YouTube Music,6.07.50,2026-04-07 00:00:00,3002,4.21,0.401,1923,3.38,0.23,-0.83,-0.171
YouTube Music,4.26.51,2026-04-07 00:00:00,3002,4.21,0.401,1923,3.38,0.23,-0.83,-0.171
YouTube Music,8.02.53,2026-04-06 00:00:00,3221,4.24,0.406,1877,3.43,0.236,-0.81,-0.17
YouTube Music,9.13.51,2026-04-08 00:00:00,2808,4.16,0.394,1968,3.35,0.224,-0.81,-0.17
YouTube Music,6.28.52,2026-04-08 00:00:00,2808,4.16,0.394,1968,3.35,0.224,-0.81,-0.17
YouTube Music,9.14.51,2026-04-08 00:00:00,2808,4.16,0.394,1968,3.35,0.224,-0.81,-0.17
YouTube Music,8.15.51,2026-04-09 00:00:00,2584,4.11,0.385,1974,3.32,0.215,-0.79,-0.17
YouTube Music,4.28.52,2026-04-09 00:00:00,2584,4.11,0.385,1974,3.32,0.215,-0.79,-0.17
YouTube Music,6.36.54,2026-04-09 00:00:00,2584,4.11,0.385,1974,3.32,0.215,-0.79,-0.17
YouTube Music,6.19.51,2026-04-10 00:00:00,2580,4.06,0.373,2005,3.29,0.206,-0.77,-0.167
YouTube Music,9.14.40-WEAR_RELEASE,2026-04-10 00:00:00,2580,4.06,0.373,2005,3.29,0.206,-0.77,-0.167
YouTube Music,8.07.52,2026-04-10 00:00:00,2580,4.06,0.373,2005,3.29,0.206,-0.77,-0.167
YouTube Music,5.06.50,2026-04-11 00:00:00,2630,4.03,0.365,2054,3.25,0.202,-0.78,-0.163
YouTube Music,9.14.53,2026-04-11 00:00:00,2630,4.03,0.365,2054,3.25,0.202,-0.78,-0.163
YouTube Music,8.11.50,2026-04-12 00:00:00,2461,3.94,0.35,2060,3.25,0.2,-0.69,-0.15
YouTube Music,5.47.53,2026-04-12 00:00:00,2461,3.94,0.35,2060,3.25,0.2,-0.69,-0.15
YouTube Music,8.20.52,2026-04-12 00:00:00,2461,3.94,0.35,2060,3.25,0.2,-0.69,-0.15
YouTube Music,6.50.51,2026-04-12 00:00:00,2461,3.94,0.35,2060,3.25,0.2,-0.69,-0.15
YouTube Music,9.14.20-CAR_RELEASE,2026-04-12 00:00:00,2461,3.94,0.35,2060,3.25,0.2,-0.69,-0.15
YouTube Music,4.60.52,2026-04-13 00:00:00,2342,3.86,0.336,2030,3.21,0.193,-0.65,-0.143
YouTube Music,8.16.51,2026-04-13 00:00:00,2342,3.86,0.336,2030,3.21,0.193,-0.65,-0.143
YouTube Music,5.14.53,2026-04-13 00:00:00,2342,3.86,0.336,2030,3.21,0.193,-0.65,-0.143
YouTube Music,6.41.58,2026-04-13 00:00:00,2342,3.86,0.336,2030,3.21,0.193,-0.65,-0.143
YouTube Music,9.12.52,2026-04-01 00:00:00,3995,4.35,0.431,1945,3.67,0.292,-0.68,-0.139
YouTube Music,6.40.52,2026-04-01 00:00:00,3995,4.35,0.431,1945,3.67,0.292,-0.68,-0.139
YouTube Music,9.13.50,2026-04-01 00:00:00,3995,4.35,0.431,1945,3.67,0.292,-0.68,-0.139
YouTube Music,4.66.51,2026-04-01 00:00:00,3995,4.35,0.431,1945,3.67,0.292,-0.68,-0.139
YouTube Music,8.13.51,2026-03-31 00:00:00,3968,4.35,0.43,2144,3.77,0.312,-0.58,-0.118
YouTube Music,5.39.52,2026-03-31 00:00:00,3968,4.35,0.43,2144,3.77,0.312,-0.58,-0.118
YouTube Music,4.37.53,2026-03-31 00:00:00,3968,4.35,0.43,2144,3.77,0.312,-0.58,-0.118
YouTube Music,9.14.54,2026-04-14 00:00:00,2144,3.77,0.312,2019,3.21,0.195,-0.56,-0.117
YouTube Music,6.21.51,2026-04-14 00:00:00,2144,3.77,0.312,2019,3.21,0.195,-0.56,-0.117
YouTube Music,6.48.51,2026-04-14 00:00:00,2144,3.77,0.312,2019,3.21,0.195,-0.56,-0.117
YouTube Music,9.15.50,2026-04-14 00:00:00,2144,3.77,0.312,2019,3.21,0.195,-0.56,-0.117
SoundCloud,2021.03.30-release,2025-05-02 00:00:00,667,4.04,0.364,691,3.63,0.262,-0.41,-0.102
SoundCloud,2025.04.30-release,2025-05-02 00:00:00,667,4.04,0.364,691,3.63,0.262,-0.41,-0.102
YouTube Music,7.27.53,2026-04-15 00:00:00,1945,3.67,0.292,2046,3.21,0.191,-0.46,-0.101
YouTube Music,9.15.40-WEAR_RELEASE,2026-04-15 00:00:00,1945,3.67,0.292,2046,3.21,0.191,-0.46,-0.101
YouTube Music,8.46.55,2026-04-15 00:00:00,1945,3.67,0.292,2046,3.21,0.191,-0.46,-0.101
SoundCloud,2021.04.08-release,2025-04-30 00:00:00,634,4.11,0.363,730,3.63,0.269,-0.48,-0.094
YouTube Music,7.19.51,2026-03-30 00:00:00,3927,4.36,0.43,2342,3.86,0.336,-0.5,-0.094
YouTube Music,4.52.50,2026-03-30 00:00:00,3927,4.36,0.43,2342,3.86,0.336,-0.5,-0.094
YouTube Music,6.26.50,2026-03-30 00:00:00,3927,4.36,0.43,2342,3.86,0.336,-0.5,-0.094
YouTube Music,5.50.53,2026-03-30 00:00:00,3927,4.36,0.43,2342,3.86,0.336,-0.5,-0.094
SoundCloud,2020.07.28-release,2025-05-01 00:00:00,645,4.09,0.363,716,3.63,0.272,-0.46,-0.091
SoundCloud,2021.11.01-release,2025-05-01 00:00:00,645,4.09,0.363,716,3.63,0.272,-0.46,-0.091
SoundCloud,2020.06.03-release,2025-05-01 00:00:00,645,4.09,0.363,716,3.63,0.272,-0.46,-0.091
SoundCloud,2024.01.08-release,2025-05-01 00:00:00,645,4.09,0.363,716,3.63,0.272,-0.46,-0.091
SoundCloud,2024.07.09-release,2025-04-28 00:00:00,616,4.11,0.364,741,3.67,0.278,-0.44,-0.086
SoundCloud,2018.07.30-release,2025-05-03 00:00:00,691,3.98,0.352,679,3.65,0.269,-0.33,-0.083
SoundCloud,2021.02.01-release,2025-05-03 00:00:00,691,3.98,0.352,679,3.65,0.269,-0.33,-0.083
YouTube Music,9.08.40-WEAR_RELEASE,2026-03-29 00:00:00,3922,4.36,0.432,2461,3.94,0.35,-0.42,-0.082
YouTube Music,7.05.54,2026-03-29 00:00:00,3922,4.36,0.432,2461,3.94,0.35,-0.42,-0.082
YouTube Music,8.13.52,2026-03-29 00:00:00,3922,4.36,0.432,2461,3.94,0.35,-0.42,-0.082
YouTube Music,8.03.51,2026-03-29 00:00:00,3922,4.36,0.432,2461,3.94,0.35,-0.42,-0.082
SoundCloud,2025.11.17-beta,2025-12-07 00:00:00,513,4.12,0.352,587,3.89,0.274,-0.23,-0.078
SoundCloud,2025.12.05-beta,2025-12-08 00:00:00,510,4.14,0.35,570,3.88,0.275,-0.26,-0.075
SoundCloud,2025.02.13-release,2025-04-24 00:00:00,621,4.11,0.373,732,3.79,0.301,-0.32,-0.072
SoundCloud,2023.01.05-release,2025-04-24 00:00:00,621,4.11,0.373,732,3.79,0.301,-0.32,-0.072
SoundCloud,2023.05.02-release,2025-05-04 00:00:00,716,3.95,0.347,663,3.69,0.275,-0.26,-0.072
SoundCloud,2023.07.18-release,2025-05-04 00:00:00,716,3.95,0.347,663,3.69,0.275,-0.26,-0.072
SoundCloud,2025.10.02-release,2025-10-07 00:00:00,547,4.1,0.352,526,4.07,0.282,-0.03,-0.07
SoundCloud,2025.04.24-release,2025-04-25 00:00:00,611,4.15,0.37,744,3.76,0.301,-0.39,-0.069
SoundCloud,2024.02.13-release,2025-04-25 00:00:00,611,4.15,0.37,744,3.76,0.301,-0.39,-0.069
SoundCloud,2024.12.10-release,2025-02-23 00:00:00,139,4.19,0.403,691,4.06,0.336,-0.13,-0.067
SoundCloud,2025.01.22-release,2025-02-23 00:00:00,139,4.19,0.403,691,4.06,0.336,-0.13,-0.067
YouTube Music,8.43.53,2026-03-28 00:00:00,3677,4.37,0.432,2630,4.03,0.365,-0.34,-0.067
YouTube Music,7.08.53,2026-03-28 00:00:00,3677,4.37,0.432,2630,4.03,0.365,-0.34,-0.067
YouTube Music,4.09.51,2026-03-28 00:00:00,3677,4.37,0.432,2630,4.03,0.365,-0.34,-0.067
YouTube Music,3.45.54,2026-03-28 00:00:00,3677,4.37,0.432,2630,4.03,0.365,-0.34,-0.067
YouTube Music,8.24.53,2026-03-28 00:00:00,3677,4.37,0.432,2630,4.03,0.365,-0.34,-0.067
SoundCloud,2025.12.05-release,2025-12-06 00:00:00,515,4.09,0.345,598,3.9,0.28,-0.19,-0.065
SoundCloud,2021.02.08-release,2025-04-27 00:00:00,614,4.1,0.353,739,3.71,0.289,-0.39,-0.064
Amazon Music,26.3.1,2026-02-02 00:00:00,869,3.54,0.29,1082,3.24,0.227,-0.3,-0.063
Amazon Music,6.4.2,2026-02-02 00:00:00,869,3.54,0.29,1082,3.24,0.227,-0.3,-0.063
Amazon Music,25.20.5,2026-02-02 00:00:00,869,3.54,0.29,1082,3.24,0.227,-0.3,-0.063
Amazon Music,25.8.1,2026-02-02 00:00:00,869,3.54,0.29,1082,3.24,0.227,-0.3,-0.063
Amazon Music,2.4.1,2026-02-02 00:00:00,869,3.54,0.29,1082,3.24,0.227,-0.3,-0.063
SoundCloud,2026.04.16-release,2026-04-20 00:00:00,451,4.09,0.346,202,3.49,0.283,-0.6,-0.063
YouTube Music,7.31.52,2026-04-16 00:00:00,1752,3.52,0.254,2078,3.17,0.191,-0.35,-0.063
YouTube Music,4.55.55,2026-04-16 00:00:00,1752,3.52,0.254,2078,3.17,0.191,-0.35,-0.063
Amazon Music,26.2.5,2026-01-27 00:00:00,942,3.57,0.311,996,3.38,0.249,-0.19,-0.062
Amazon Music,26.2.6,2026-01-29 00:00:00,930,3.57,0.305,1001,3.32,0.244,-0.25,-0.061
Amazon Music,26.3.2,2026-02-04 00:00:00,889,3.52,0.282,1084,3.21,0.221,-0.31,-0.061
YouTube Music,7.14.52,2026-03-27 00:00:00,3589,4.38,0.434,2580,4.06,0.373,-0.32,-0.061
YouTube Music,6.46.52,2026-03-27 00:00:00,3589,4.38,0.434,2580,4.06,0.373,-0.32,-0.061
Amazon Music,23.2.2,2026-02-03 00:00:00,873,3.53,0.283,1088,3.23,0.224,-0.3,-0.059
Amazon Music,26.3.0,2026-02-03 00:00:00,873,3.53,0.283,1088,3.23,0.224,-0.3,-0.059
YouTube Music,8.29.56,2026-04-17 00:00:00,1813,3.48,0.248,2052,3.15,0.189,-0.33,-0.059
Amazon Music,22.14.3,2026-01-26 00:00:00,944,3.56,0.31,987,3.39,0.252,-0.17,-0.058
Amazon Music,23.11.1,2026-02-07 00:00:00,976,3.47,0.277,1060,3.23,0.219,-0.24,-0.058
Amazon Music,26.14.0,2026-05-12 00:00:00,1140,3.55,0.3,979,3.39,0.243,-0.16,-0.057
Amazon Music,26.17.1,2026-06-02 00:00:00,977,3.37,0.255,1335,2.93,0.198,-0.44,-0.057
Amazon Music,7.4.7,2026-06-02 00:00:00,977,3.37,0.255,1335,2.93,0.198,-0.44,-0.057
Amazon Music,15.18.2,2026-06-02 00:00:00,977,3.37,0.255,1335,2.93,0.198,-0.44,-0.057
Amazon Music,7.5.4,2026-05-20 00:00:00,1050,3.54,0.285,1065,3.17,0.229,-0.37,-0.056
SoundCloud,2024.08.22-release,2025-04-26 00:00:00,609,4.12,0.355,743,3.75,0.299,-0.37,-0.056
SoundCloud,2022.05.02-release,2025-04-26 00:00:00,609,4.12,0.355,743,3.75,0.299,-0.37,-0.056
SoundCloud,2024.10.21-release,2025-02-24 00:00:00,190,4.22,0.389,689,4.04,0.334,-0.18,-0.055
SoundCloud,2024.11.20-release,2025-02-24 00:00:00,190,4.22,0.389,689,4.04,0.334,-0.18,-0.055
SoundCloud,2024.11.07-wear-release,2025-02-24 00:00:00,190,4.22,0.389,689,4.04,0.334,-0.18,-0.055
SoundCloud,2020.09.03-release,2025-08-26 00:00:00,516,4.0,0.351,528,3.98,0.297,-0.02,-0.054
YouTube Music,5.13.40-WEAR_RELEASE,2026-04-18 00:00:00,1836,3.45,0.244,2078,3.16,0.191,-0.29,-0.053
YouTube Music,5.09.51,2026-04-18 00:00:00,1836,3.45,0.244,2078,3.16,0.191,-0.29,-0.053
YouTube Music,5.07.50,2026-04-18 00:00:00,1836,3.45,0.244,2078,3.16,0.191,-0.29,-0.053
YouTube Music,5.02.50,2026-04-18 00:00:00,1836,3.45,0.244,2078,3.16,0.191,-0.29,-0.053
Amazon Music,17.9.0,2026-06-01 00:00:00,976,3.38,0.249,1304,2.93,0.197,-0.45,-0.052
