app_name,review_text,rating,thumbs_up,issue_category,review_date
Amazon Music,Amazon has yet again shown its greedy side. I already had their subscription. now they have changed the terms on the subscriber. now I will have to pay more to go ad free. so the first subscription was for the content and the second was to go ad free. it started with prime video and is continued with prime music. they are pushing people to unsubscribe so they got their wish. unsubscribing to all amazon services. this is unfair trade practices and I forgot one won't stand for it,1,479,none,2026-06-02 10:09:01
Amazon Music,"It cannot do the one fundamental thing a music player app needs to be able to -- reliably play back music without stopping. If the app is playing, and you put the phone down and just want to listen - it will eventually just pause/stop. Going back into the app sometimes makes it restart by itself, sometimes you need to hit play again. Seriously - this is the most infuriating app I have ever dealt with. And yes, I have tried every battery optimisation setting in Android. Nothing helps.",1,332,performance,2026-07-12 18:32:49
Amazon Music,"It bogs down frequently, and saved/Playlist songs come and go, but they've got nearly everything you could want to hear (even removed songs can be found on different albums), and resolution is often updated. Not perfect, but great. UPDATE: three stars Now they have podcasts, very good, but they keep demanding permission to use Bluetooth devices. No, amazon, you don't need to listen in on me when I'm doing the dishes and taking a shower...2026 update crashes WAY too often. Took off a star.",2,251,crash,2026-01-17 21:14:05
Amazon Music,"I like it but it has flaws. The latest update made the auto play feature not work any longer even though it is selected on. Edit 6/7/26 auto play works. But this app is extremely slow a lot of the time, and has become unresponsive to changing songs, selecting playlists. I very often have to force close the app and clear cache and data, and restart it. frustrating.",2,245,crash,2026-06-08 01:58:48
Amazon Music,"Amazon tech admitted problems with interface between music app and Echo devices. AMAZON IS NOT TRYING TO FIX IT. I'VE BEEN COMPLAINING FOR 5 YEARS. It is definitely an Amazon Music app problem and it is getting worse every time they update the app or add more features. Alexa 2.0 is dreadful. Alexa is worse at understanding commands, finding songs, the app makes editing playlists so difficult I want to pull my hair out.",1,243,ui,2026-05-21 18:16:56
JioSaavn,"It is quite buggy on Vivo X300 and often doesn't respond to tws touch controls while other apps like Youtube music and spotify work just fine. I have turned the video playback off from settings but whenever I start playing a song a ""HD video available"" toast pops up over seek button which is quite annoying and there's no way to turn that off. I cannot recommend spending money on this app at all.",1,158,payment,2026-07-04 20:59:22
JioSaavn,"I've been using the pro version since the launch of jiosaavan( music) . They could do better by adding more caller tunes, and selecting the music part on our own, still some songs are missing, and the features like sleep timer doesn't work",1,106,none,2026-07-25 01:30:12
JioSaavn,"I have used Jiosaavn many times and uninstalled it for the same reason. No matter which song you play, after the song is over, it returns to the same set of songs irrespective of the mood / genre of the song you played at first. It does nit play similar songs as per your mood, though I have checked autoplay option. This problem still remains as is. Not returning to Jiosaavn again...",1,19,none,2026-06-07 13:02:12
JioSaavn,"worst possible algorithm, I wish I knew this before buying the premium. there's absolutely no correlation between two songs in a queue, they are playing whatever is famously being played at the moment. on top of that they don't even have mainstream songs available, it's like a cherry on top. ABSOLUTE TRASH.",1,7,none,2026-06-15 22:42:35
JioSaavn,"When app runs in background, cannot control with my Neckband touch controls. in latest updated version, i updated this app today.",1,6,none,2026-06-30 16:13:24
SoundCloud,don't work anymore,1,789,none,2025-12-15 23:37:56
SoundCloud,"why does my liked playlist show 434 songs on the app but on PC it's about 495+? weird. still won't let me restart a song at the end of a queue properly anymore, some songs start halfway through/near the end for no reason after loading, and most have a hiccup in the first 10 seconds when i start a new playlist or repeat a song (update, the hiccups are now MID SONG AS WELL) the UI is clunky & curated mixes don't refresh frequently enough.",2,611,ui,2025-05-08 17:29:49
