app_name,app_version,version_release_date,review_count,avg_rating,avg_sentiment,pct_negative,issue_review_count
YouTube Music,9.15.40-WEAR_RELEASE,2026-04-15 00:00:00,13,1.69,-0.253,69.2,6
YouTube Music,8.09.50,2026-03-19 00:00:00,33,1.79,0.063,33.3,2
YouTube Music,9.22.41-WEAR_RELEASE,2026-06-06 00:00:00,28,2.29,-0.007,42.9,5
Spotify,8.8.96.364,2026-07-07 00:00:00,10,2.3,0.1,30.0,0
Spotify,9.0.68.632,2026-07-08 00:00:00,11,2.45,0.049,36.4,4
YouTube Music,8.13.51,2026-03-31 00:00:00,10,2.5,-0.152,60.0,4
Spotify,9.1.2.1253,2026-07-08 00:00:00,10,2.5,0.381,10.0,1
Spotify,9.1.0.1147,2026-07-06 00:00:00,19,2.58,-0.004,31.6,3
YouTube Music,9.21.53,2026-06-10 00:00:00,12,2.67,0.48,0.0,1
YouTube Music,9.17.52,2026-05-08 00:00:00,29,2.69,0.142,34.5,3
YouTube Music,9.18.51,2026-05-14 00:00:00,15,2.73,0.241,26.7,4
YouTube Music,8.38.52,2026-03-15 00:00:00,102,2.75,0.171,21.6,10
Amazon Music,25.15.0,2025-12-12 00:00:00,17,2.76,0.164,23.5,6
YouTube Music,9.17.55,2026-05-08 00:00:00,28,2.79,0.084,32.1,7
Amazon Music,25.18.0,2025-12-13 00:00:00,10,2.8,0.385,30.0,3
SoundCloud,2025.07.21-wear-release,2025-07-25 00:00:00,16,2.81,0.247,18.8,4
SoundCloud,2024.04.22-release,2025-03-23 00:00:00,11,2.82,0.118,36.4,3
YouTube Music,9.15.51,2026-04-23 00:00:00,12,2.83,0.025,41.7,2
Amazon Music,26.16.0,2026-05-26 00:00:00,20,2.85,0.068,25.0,4
YouTube Music,9.29.53,2026-07-23 00:00:00,28,2.86,0.094,28.6,7
